# ARES Matrix v3.0 FINAL | 110 Compounds | OTC + Rx + Peptide | Full Scientific Validation
name,category,impact_score,necessity_tier,evidence_level,protocol_phase,phase_0,phase_1,phase_2,phase_3,ctx_true_natural,ctx_enhanced_no_trt,ctx_on_trt,ctx_on_glp1,goal_fat_loss,goal_muscle_gain,goal_recomposition,goal_maintenance,goal_longevity,goal_performance,goal_cognitive,goal_sleep,goal_gut_health,cal_in_deficit,cal_in_surplus,demo_age_over_40,demo_age_over_50,demo_age_over_60,demo_is_male,demo_is_female,pep_gh_secretagogue,pep_healing,pep_longevity,pep_nootropic,pep_metabolic,pep_immune,pep_testo,pep_skin,bw_cortisol_high,bw_testosterone_low,bw_vitamin_d_low,bw_magnesium_low,bw_triglycerides_high,bw_inflammation_high,bw_glucose_high,bw_insulin_resistant,bw_hdl_low,bw_ldl_high,bw_apob_high,bw_ferritin_high,bw_homocysteine_high,bw_nad_low,bw_b12_low,bw_iron_low,bw_thyroid_slow,syn_retatrutide,syn_tirzepatide,syn_semaglutide,syn_epitalon,syn_mots_c,syn_bpc_157,syn_tb_500,syn_cjc_1295,syn_ipamorelin,compound_class,rx_dosing_protocol,rx_monitoring_required,notes,peptide_route,peptide_half_life
Creatine Monohydrat,Energie,9.8,essential,strong,0.0,2.0,1.0,0.5,0.0,1.0,1.0,0.5,2.5,2.5,4.0,1.8,0.5,,2.0,1.5,,,3.5,2.0,1.5,2.0,2.6,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,3.5,3.0,3.0,,,,,,,otc,,,,,
Magnesium Glycinat,Schlaf,9.5,essential,strong,0.0,2.5,1.0,0.5,0.0,1.0,1.5,1.0,2.0,,1.0,0.5,1.5,,1.0,1.0,2.0,,1.5,1.0,1.5,,,1.0,1.5,2.0,,,,2.5,,2.5,,1.5,,,4.0,,,1.0,,,,,,,,,,,2.0,1.5,,,,,,,,otc,,,,,
Omega-3 (EPA/DHA),Entzündung,9.2,essential,strong,0.0,2.0,1.0,0.5,0.5,0.5,,1.0,,1.0,,0.5,1.5,2.0,,1.5,,,,,1.5,2.0,,,,,2.0,,3.0,,,,,,,,,4.0,3.0,,,2.0,,3.0,,,,,,,,,,,,,,,,otc,,,,,
NMN,Longevity,9.0,specialist,moderate,0.0,0.5,0.5,0.5,3.5,,,,,,,,,3.0,,2.0,,,,,1.5,3.0,4.0,,,,,3.5,,,,,,,,,,,,,,,,,,,4.0,,,,,,,2.5,2.0,,,,,otc,,,,,
Vitamin D3 + K2,Testosteron,9.0,essential,strong,0.0,2.5,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.5,0.5,1.0,1.5,1.0,,0.5,0.5,,,1.0,1.5,2.5,3.2,1.0,1.5,,,,,,2.0,2.5,,,1.5,4.0,,,1.0,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Elektrolyte (LMNT),GLP-1 Support,9.0,essential,strong,1.0,0.5,3.0,1.5,1.0,,,,4.0,2.0,,1.0,,,,,,,1.5,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,3.5,3.0,3.0,,,,,,,otc,,,,,
GlyNAC,Longevity,8.5,specialist,moderate,0.0,0.5,1.0,1.0,2.5,,,1.0,,,,,,1.5,,,,,,,1.5,3.0,4.0,,,,,,,,3.0,,,,,,,,2.0,,,,,,,1.5,,,,,,,,,,,,,,otc,,,,,
NR,Longevity,8.5,specialist,strong,0.0,0.5,0.5,0.5,0.5,,,,,,,,,1.0,,2.0,,,,,1.5,3.0,4.0,,,,,,1.5,,,,,,,,,,1.5,,,,,,,,,,,,,,,2.5,,,,,,otc,,,,,
Urolithin A,Longevity,8.5,specialist,strong,0.0,0.5,0.5,0.5,2.5,,,,,,,,,2.5,,,,,,,1.5,2.0,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,otc,,,,,
CaAKG,Longevity,8.5,specialist,moderate,0.0,0.5,0.5,0.5,2.0,,,,,,0.5,0.3,,2.0,,,,,,,,2.0,2.5,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Spermidin,Longevity,8.5,specialist,moderate,0.0,0.5,0.5,0.5,3.0,,,,,,,,,3.0,,,,,,,2.0,2.5,3.0,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.5,,,,,,otc,,,,,
EAA,Performance,8.5,essential,strong,0.0,0.5,1.5,1.0,0.5,1.5,3.0,0.0,3.5,3.0,3.5,2.0,,,2.0,,,,3.5,2.0,,,,,,1.5,,,,2.5,,,,,,,,,,,,,,,,,,,,,3.5,3.0,3.0,,,,,,,otc,,,,,
L-Citrullin,Performance,8.5,optimizer,strong,0.0,0.5,1.0,0.5,0.0,1.0,,1.0,,,1.5,0.8,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Citrus Bergamot,TRT-Support,8.5,essential,strong,1.0,0.5,2.5,1.0,0.5,,,3.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,3.5,4.0,3.5,,,,,,,,,,,,,,,,otc,,,,,
Berberin,Energie,8.5,optimizer,strong,0.0,0.5,2.0,1.0,0.5,,,,-2.0,3.0,,1.0,,1.5,,,,,1.5,,,,,,,,,,,,,,,,,,,,,3.5,4.0,,1.5,,,,,,,,-3.0,-2.5,,,,,,,,otc,,,,,
Lions Mane,Kognition,8.5,optimizer,moderate,0.0,1.0,1.0,2.0,0.5,,,,,,,,,1.0,,2.5,,,,,1.5,2.0,,,,,,,3.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Silymarin,Leber,8.0,optimizer,strong,0.0,0.5,0.5,0.5,0.5,,,2.0,,,,,,0.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
TUDCA,TRT-Support,8.0,essential,strong,1.0,0.5,2.0,0.5,1.0,,,3.0,,,,,,1.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Beta-Alanin,Performance,8.0,optimizer,strong,0.0,0.0,1.0,1.0,0.5,1.0,,0.5,,,2.5,0.8,,,2.0,,,,,,,,,,,,,2.5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
Resveratrol,Longevity,8.0,specialist,moderate,0.0,0.5,0.5,0.5,2.5,,,,,,,,,2.5,,,,,,,1.5,2.0,,,,,,3.0,,,,,,,,,,,1.5,,,,,,,,,,,,,,,2.0,,,,,,otc,,,,,
NAC,Antioxidantien,8.0,essential,strong,0.0,2.0,1.0,1.0,1.0,,,2.0,,,,,,1.5,,,,,,,,,,,,,,,,,3.0,,,,,,,,2.0,,,,,,,1.5,,,,,,,,,,,,,,otc,,,,,
Vitamin C (liposomal),Peptid-Synergie,8.0,essential,strong,2.0,1.0,0.5,0.0,0.0,0.5,,,,,,,1.0,0.5,,,,,,,,,,,,,2.0,,,,3.0,,2.0,,,,,,1.5,,,,,,,,,,1.0,,,,,,,,,,,otc,,,,,
Ashwagandha KSM-66,Stress,7.8,optimizer,strong,0.0,1.0,1.0,0.5,0.0,2.5,1.0,-2.0,,,1.0,0.5,,,,1.0,1.5,,,,,,,,,,,,,,,1.5,,3.5,2.5,,,,,,,,,,,,,,,-1.0,,,,,,,,,,otc,,,,,
Taurin (kardioprotektiv),TRT-Support,7.8,optimizer,strong,1.0,1.0,1.0,0.5,0.5,0.5,,2.0,1.5,,,,,2.0,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,otc,,,,,
L-Arginin,Performance,7.5,optimizer,strong,0.0,0.5,0.5,0.0,0.0,1.5,,-1.0,,,0.5,0.2,,,2.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,-3.0,-3.0,otc,,,,,
DIM,TRT-Support,7.5,optimizer,moderate,1.0,0.5,0.5,0.5,0.5,,,3.0,,0.5,,0.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,otc,,,,,
